[Ano],[Mês/Ano],[Campo],[Bacia],[Instalação],[Poço],[Estado],[Ambiente],[Produção de Óleo (m³)],[Produção de Gás Associado (Mm³)],[Produção de Gás Não Associado (Mm³)],[Produção de Água (m³)],[Injeção de Gás (Mm³)],[Produção de Condensado (m³)],[Injeção de Água para Recuperação Secundária (m³)],[Injeção de Água para Descarte (m³)],[Injeção de Gás Carbônico (Mm³)],[Injeção de Nitrogênio (Mm³)],[Injeção de Vapor de Água (t)],[Injeção de Polímeros (m³)],[Injeção de Outros Fluidos (m³)]
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB922CE,Ceará,TERRA,25,0,0,254,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB923CE,Ceará,TERRA,9,0,0,157,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB927CE,Ceará,TERRA,7,0,0,155,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB939CE,Ceará,TERRA,5,0,0,14,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB918CE,Ceará,TERRA,23,0,0,90,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB883CE,Ceará,TERRA,2,0,0,74,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB206CE,Ceará,TERRA,41,0,0,337,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB209CE,Ceará,TERRA,36,0,0,1036,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB210CE,Ceará,TERRA,10,0,0,100,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB212CE,Ceará,TERRA,11,0,0,90,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB213CE,Ceará,TERRA,6,0,0,57,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB215CE,Ceará,TERRA,21,0,0,139,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB171CE,Ceará,TERRA,3,0,0,328,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB303CE,Ceará,TERRA,18,0,0,182,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB305CE,Ceará,TERRA,3,0,0,54,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB364CE,Ceará,TERRA,2,0,0,601,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB170CE,Ceará,TERRA,25,0,0,168,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB84CE,Ceará,TERRA,1,0,0,124,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB169CE,Ceará,TERRA,15,0,0,555,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB165CE,Ceará,TERRA,21,0,0,81,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB599CE,Ceará,TERRA,9,0,0,761,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB603CE,Ceará,TERRA,21,0,0,94,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB604CE,Ceará,TERRA,5,0,0,100,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB606CE,Ceará,TERRA,57,0,0,592,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB641CE,Ceará,TERRA,3,0,0,48,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB642CE,Ceará,TERRA,12,0,0,62,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB644CE,Ceará,TERRA,11,0,0,30,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB645CE,Ceará,TERRA,21,0,0,262,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB648CE,Ceará,TERRA,3,0,0,28,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB649CE,Ceará,TERRA,10,0,0,65,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB650CE,Ceará,TERRA,11,0,0,233,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB668CE,Ceará,TERRA,22,0,0,99,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB670CE,Ceará,TERRA,14,0,0,30,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB878CE,Ceará,TERRA,41,0,0,214,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB876CE,Ceará,TERRA,19,0,0,110,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB875CE,Ceará,TERRA,3,0,0,33,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB874CE,Ceará,TERRA,2,0,0,103,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB850CE,Ceará,TERRA,28,0,0,245,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB852CE,Ceará,TERRA,20,0,0,68,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB844CE,Ceará,TERRA,9,0,0,227,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB873CE,Ceará,TERRA,12,0,0,44,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB879CE,Ceará,TERRA,22,0,0,62,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB889CE,Ceará,TERRA,90,1,0,375,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB882CE,Ceará,TERRA,14,0,0,56,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB884CE,Ceará,TERRA,12,0,0,133,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB886CE,Ceará,TERRA,6,0,0,201,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB887CE,Ceará,TERRA,4,0,0,126,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB888CE,Ceará,TERRA,2,0,0,429,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB894CE,Ceará,TERRA,8,0,0,27,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB838CE,Ceará,TERRA,15,0,0,95,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB832CE,Ceará,TERRA,1,0,0,11,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB742CE,Ceará,TERRA,16,0,0,510,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB837CE,Ceará,TERRA,25,0,0,84,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB796CE,Ceará,TERRA,24,0,0,390,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB829CE,Ceará,TERRA,44,0,0,660,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB831CE,Ceará,TERRA,23,0,0,113,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB921CE,Ceará,TERRA,17,0,0,108,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB946CE,Ceará,TERRA,16,0,0,364,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB953CE,Ceará,TERRA,31,0,0,211,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB975CE,Ceará,TERRA,25,0,0,183,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB976CE,Ceará,TERRA,15,0,0,43,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB977CE,Ceará,TERRA,15,0,0,107,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB985CE,Ceará,TERRA,16,0,0,96,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB991CE,Ceará,TERRA,8,0,0,88,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB992CE,Ceará,TERRA,28,0,0,78,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB993CE,Ceará,TERRA,26,0,0,97,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB997CE,Ceará,TERRA,26,0,0,59,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB998CE,Ceará,TERRA,43,0,0,86,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB944CE,Ceará,TERRA,7,0,0,519,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB999CE,Ceará,TERRA,46,0,0,630,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB1001CE,Ceará,TERRA,65,1,0,94,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB1002CE,Ceará,TERRA,100,1,0,193,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB1003CE,Ceará,TERRA,20,0,0,84,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB1007CE,Ceará,TERRA,35,0,0,49,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB1014CE,Ceará,TERRA,6,0,0,14,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB1151CE,Ceará,TERRA,51,0,0,312,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB669CE,Ceará,TERRA,0,0,0,9,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB1000CE,Ceará,TERRA,12,0,0,73,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB941CE,Ceará,TERRA,15,0,0,220,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB216CE,Ceará,TERRA,9,0,0,29,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB256CE,Ceará,TERRA,2,0,0,315,0,0,342,0,0,0,342,0,0
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB167CE,Ceará,TERRA,2,0,0,64,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB877CE,Ceará,TERRA,10,0,0,46,0,0,2361,0,0,0,2361,0,0
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB885CE,Ceará,TERRA,7,0,0,32,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB881CE,Ceará,TERRA,6,0,0,153,0,0,80,0,0,0,80,0,0
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB743CE,Ceará,TERRA,11,0,0,92,0,0,1709,0,0,0,1709,0,0
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB797CE,Ceará,TERRA,23,0,0,613,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB830CE,Ceará,TERRA,23,0,0,91,0,0,1516,0,0,0,1516,0,0
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB984CE,Ceará,TERRA,14,0,0,55,0,0,122,0,0,0,122,0,0
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB1010CE,Ceará,TERRA,53,0,0,159,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB1152CE,Ceará,TERRA,2,0,0,11,0,0,3428,0,0,0,3428,0,0
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB943CE,Ceará,TERRA,12,0,0,56,0,0,82,0,0,0,82,0,0
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB878CE,Ceará,TERRA,50,0,0,116,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB796CE,Ceará,TERRA,27,0,0,318,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB742CE,Ceará,TERRA,9,0,0,319,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB881CE,Ceará,TERRA,12,0,0,1195,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB743CE,Ceará,TERRA,65,1,0,450,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB882CE,Ceará,TERRA,13,0,0,62,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB885CE,Ceará,TERRA,193,2,0,853,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB927CE,Ceará,TERRA,8,0,0,120,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB939CE,Ceará,TERRA,0,0,0,3,0,0,2405,0,0,0,2405,0,0
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB941CE,Ceará,TERRA,14,0,0,121,0,0,458,0,0,0,458,0,0
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB943CE,Ceará,TERRA,0,0,0,33,0,0,1858,0,0,0,1858,0,0
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB944CE,Ceará,TERRA,11,0,0,254,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB946CE,Ceará,TERRA,32,0,0,378,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB975CE,Ceará,TERRA,15,0,0,87,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB976CE,Ceará,TERRA,15,0,0,37,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB977CE,Ceará,TERRA,98,1,0,379,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB985CE,Ceará,TERRA,15,0,0,80,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB991CE,Ceará,TERRA,11,0,0,60,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB992CE,Ceará,TERRA,20,0,0,56,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB993CE,Ceará,TERRA,23,0,0,77,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB994CE,Ceará,TERRA,22,0,0,393,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB997CE,Ceará,TERRA,21,0,0,82,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB998CE,Ceará,TERRA,36,0,0,70,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB999CE,Ceará,TERRA,70,1,0,301,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB670CE,Ceará,TERRA,13,0,0,19,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB953CE,Ceará,TERRA,5,0,0,83,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB923CE,Ceará,TERRA,9,0,0,148,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB922CE,Ceará,TERRA,41,0,0,149,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB921CE,Ceará,TERRA,15,0,0,95,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB886CE,Ceará,TERRA,6,0,0,159,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB887CE,Ceará,TERRA,3,0,0,89,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB888CE,Ceará,TERRA,1,0,0,240,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB889CE,Ceará,TERRA,81,1,0,275,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB894CE,Ceará,TERRA,10,0,0,23,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB918CE,Ceará,TERRA,51,0,0,163,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB884CE,Ceará,TERRA,11,0,0,108,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB669CE,Ceará,TERRA,0,0,0,10,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB883CE,Ceará,TERRA,2,0,0,55,0,,,,,,,,
2023,jun/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem VIII,7FZB438CE,Ceará,TERRA,4,0,0,421,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB185CE,Ceará,TERRA,4,0,0,71,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB208CE,Ceará,TERRA,3,0,0,572,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB251CE,Ceará,TERRA,63,1,0,1236,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB252CE,Ceará,TERRA,2,0,0,205,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB253CE,Ceará,TERRA,2,0,0,464,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB262CE,Ceará,TERRA,2,0,0,279,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB263CE,Ceará,TERRA,23,0,0,419,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB360CE,Ceará,TERRA,4,0,0,543,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,3FZB10CE,Ceará,TERRA,4,0,0,396,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB33CE,Ceará,TERRA,1,0,0,23,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB46CE,Ceará,TERRA,9,0,0,846,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB50CE,Ceará,TERRA,7,0,0,192,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB61CE,Ceará,TERRA,4,0,0,16,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB65CE,Ceará,TERRA,4,0,0,22,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB112CE,Ceará,TERRA,6,0,0,1022,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB123CE,Ceará,TERRA,2,0,0,176,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB132CE,Ceará,TERRA,2,0,0,176,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB134CE,Ceará,TERRA,2,0,0,70,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB140CE,Ceará,TERRA,77,1,0,944,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB141CE,Ceará,TERRA,5,0,0,592,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB142CE,Ceará,TERRA,13,0,0,941,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB114CE,Ceará,TERRA,6,0,0,563,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB365CE,Ceará,TERRA,6,0,0,470,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,3FZB4CE,Ceará,TERRA,1,0,0,231,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB367CE,Ceará,TERRA,4,0,0,28,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB675CE,Ceará,TERRA,6,0,0,2171,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB677CE,Ceará,TERRA,1,0,0,55,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB366CE,Ceará,TERRA,1,0,0,194,0,,,,,,,,
2023,mai/2023,FAZENDA BELÉM CE,Potiguar,Estação Coletora Fazenda Belem V,7FZB720CE,Ceará,TERRA,11,0,0,1380,0,,,,,,,,
