[Ano],[Mês/Ano],[Campo],[Bacia],[Instalação],[Poço],[Estado],[Ambiente],[Produção de Óleo (m³)],[Produção de Gás Associado (Mm³)],[Produção de Gás Não Associado (Mm³)],[Produção de Água (m³)],[Injeção de Gás (Mm³)],[Produção de Condensado (m³)],[Injeção de Água para Recuperação Secundária (m³)],[Injeção de Água para Descarte (m³)],[Injeção de Gás Carbônico (Mm³)],[Injeção de Nitrogênio (Mm³)],[Injeção de Vapor de Água (t)],[Injeção de Polímeros (m³)],[Injeção de Outros Fluidos (m³)]
2023,jan/2023,ESTREITO,Potiguar,Estação Coletora Estreito   B,7ET119RN,Rio Grande do Norte,TERRA,5,0,0,456,0,,,,,,,,
2023,jan/2023,CANDEIAS,Recôncavo,Estação São Paulinho,7C171BA,Bahia,TERRA,64,71,0,1,0,,,,,,,,
2023,mar/2023,ICAPUÍ,Potiguar,Estação Coletora Icapui,3IC6CE,Ceará,TERRA,17,0,0,14,0,,,,,,,,
2023,mar/2023,ICAPUÍ,Potiguar,Estação Coletora Icapui,7IC11CE,Ceará,TERRA,9,0,0,9,0,,,,,,,,
2023,mar/2023,DOM JOÃO,Recôncavo,Estação Dom João,7DJ830BA,Bahia,TERRA,16,0,0,399,0,,,,,,,,
2023,mar/2023,DOM JOÃO,Recôncavo,Estação Dom João,8DJ865BA,Bahia,TERRA,17,0,0,885,0,,,,,,,,
2023,mar/2023,DOM JOÃO,Recôncavo,Estação Dom João,8DJ869BA,Bahia,TERRA,45,0,0,435,0,,,,,,,,
2023,jan/2023,REDONDA,Potiguar,Estação Coletora de Redonda,3RE17RN,Rio Grande do Norte,TERRA,41,0,0,169,0,,,,,,,,
2023,jan/2023,REDONDA,Potiguar,Estação Coletora de Redonda,7RE33RN,Rio Grande do Norte,TERRA,25,0,0,46,0,,,,,,,,
2023,mar/2023,CANDEIAS,Recôncavo,Tanque na Área do Poço C-158,7C158BA,Bahia,TERRA,190,15,0,2,0,,,,,,,,
2023,mar/2023,CIDADE DE ARACAJU,Sergipe,Ponto de Coleta de Cidade de Aracaju,7CAU7DSE,Sergipe,TERRA,3,0,0,1,0,,,,,,,,
2023,mar/2023,CIDADE DE ARACAJU,Sergipe,Ponto de Coleta de Cidade de Aracaju,7CAU8DSE,Sergipe,TERRA,17,1,0,2,0,,,,,,,,
2023,jan/2023,GALO DE CAMPINA,Potiguar,Estação Coletora Galo de Campina,7GC11RN,Rio Grande do Norte,TERRA,18,0,0,43,0,,,,,,,,
2023,jan/2023,GALO DE CAMPINA,Potiguar,Estação Coletora Galo de Campina,7GC16RN,Rio Grande do Norte,TERRA,6,0,0,0,0,,,,,,,,
2023,jan/2023,ALTO DO RODRIGUES,Potiguar,Estação Coletora Alto do Rodrigues  B,7ARG956RN,Rio Grande do Norte,TERRA,2,0,0,81,0,,,,,,,,
2023,mar/2023,JOÃO DE BARRO,Potiguar,Estação Coletora de João de Barro (POT-T-302),7JB1RN,Rio Grande do Norte,TERRA,31,0,0,36,0,,,,,,,,
2023,jan/2023,TABULEIRO DOS MARTINS,Alagoas,Estação Coletora de Tabuleiro dos Martins,7TM41DAL,Alagoas,TERRA,5,1,0,3,0,,,,,,,,
2023,jan/2023,TABULEIRO DOS MARTINS,Alagoas,Estação Coletora de Tabuleiro dos Martins,7TM50DAL,Alagoas,TERRA,13,1,0,23,0,,,,,,,,
2023,jan/2023,FOZ DO VAZA-BARRIS,Sergipe,Ponto de Coleta de Foz do Vaza-Barris,1FVB2SE,Sergipe,TERRA,18,0,0,0,0,,,,,,,,
